T,gyro_1f_ax
175.089943,4
175.189914,4
175.289943,3
175.389928,3
175.489919,3
175.589919,3
175.689927,2
175.789928,3
175.889929,3
175.989916,3
176.089928,3
176.18993,4
176.28993,4
176.389925,4
176.489903,4
176.589919,4
176.689901,4
176.789902,4
176.889916,5
176.989916,5
177.089912,4
177.189934,5
177.289894,5
177.389906,5
177.489923,5
177.589923,5
177.689901,5
177.789927,6
177.889916,6
177.989916,6
178.093434,6
178.189894,6
178.289894,7
178.389901,7
178.489892,6
178.589892,6
178.68991,5
178.789896,5
178.889885,4
178.989912,4
179.08992,3
179.189903,3
179.289916,2
179.389896,2
179.489914,2
179.589892,2
179.689909,2
179.789896,2
179.889898,2
179.993434,2
180.089919,3
180.18989,3
180.289902,3
180.389909,3
180.489874,4
180.589874,4
180.689905,4
180.789879,4
180.889907,4
180.989893,4
181.089915,4
181.189899,5
181.289897,5
181.389892,5
181.489909,6
181.589909,6
181.689914,6
181.789887,6
181.889888,6
181.989889,6
182.089911,6
182.189894,6
182.289919,5
182.389887,5
182.489892,4
182.589878,4
182.689896,3
182.789923,2
182.889924,2
182.989898,2
183.08988,2
183.289888,1
183.389896,2
183.4899,1
183.5899,2
183.689892,2
183.789905,2
183.889919,3
183.989906,3
184.093451,4
184.189898,3
184.289911,4
184.389866,4
184.489883,4
184.589883,4
184.689901,4
184.789874,5
184.889862,5
184.989889,6
185.089884,6
185.189881,6
185.289893,6
185.389874,7
185.489865,6
185.589879,6
185.689856,6
185.789869,5
185.889884,5
185.993421,3
186.089906,3
186.189876,2
186.289902,2
186.389883,2
186.489887,1
186.589874,1
186.689891,1
186.789905,1
186.889893,1
186.989881,2
187.089877,2
187.189887,2
187.289872,2
187.389867,3
187.489885,3
187.589898,3
187.689889,4
187.789889,4
187.893427,4
187.98989,4
188.089899,5
188.18987,5
188.289855,6
188.389863,6
188.489854,6
188.589854,6
188.689871,6
188.789845,6
188.889873,6
188.98986,5
189.089868,4
189.189878,4
189.289903,3
189.389885,2
