T,gyro_5f_wz[dps]
123.880742,44.5
123.980699,42.3
124.080658,39.7
124.180578,36.7
124.280588,32.9
124.380628,28.6
124.480726,23.7
124.580563,18.6
124.680547,13.4
124.780535,8.1
124.880707,2.9
124.980682,-2.0
125.0807,-6.7
125.180752,-10.9
125.280583,-14.5
125.380555,-17.5
125.480697,-19.9
125.580546,-21.9
125.680552,-23.7
125.78054,-25.1
125.880593,-26.2
125.980668,-27.1
126.180654,-26.9
126.28057,-24.8
126.58056,-13.3
126.680539,-8.6
126.780558,-3.5
126.880612,1.4
127.080617,11.1
127.180611,15.8
127.380648,25.0
127.480702,29.5
127.580546,33.8
127.780548,42.2
127.880581,46.2
127.98058,50.0
128.180608,56.8
128.280672,58.9
128.480611,60.1
128.580714,59.4
128.780544,57.2
128.980592,54.7
129.38067,45.6
129.480683,42.1
129.580702,38.4
129.680548,34.5
129.780567,30.5
129.88058,26.4
129.980598,22.2
130.080718,18.0
130.180614,13.7
130.280589,9.4
130.380655,5.0
130.480578,0.7
130.580648,-3.4
130.680679,-7.5
130.780566,-11.4
130.880555,-15.0
130.980698,-18.3
131.080738,-20.9
131.180666,-23.0
131.280646,-24.2
131.380648,-24.8
131.48073,-24.9
131.680558,-23.2
131.780572,-21.8
131.880567,-20.2
131.980705,-18.4
132.18071,-16.2
132.280668,-16.0
132.380666,-16.4
132.480627,-16.9
132.780559,-18.3
132.880546,-18.7
132.980699,-19.3
133.180669,-19.7
133.280732,-19.8
133.380576,-19.9
133.480668,-19.8
133.680692,-19.3
133.780554,-18.9
133.880554,-18.4
133.980546,-17.8
134.080761,-17.2
134.180669,-16.5
134.280635,-15.7
134.380598,-15.0
134.680606,-12.6
135.08058,-9.2
135.180756,-8.3
135.280651,-7.5
135.380614,-6.6
135.480726,-5.8
135.580554,-5.1
135.980563,-2.2
136.080597,-1.5
136.180764,-1.0
136.280615,-0.3
136.380684,0.2
136.480633,0.7
136.580746,1.2
136.680612,1.7
136.780561,2.1
136.880543,2.5
137.080573,3.1
137.480668,3.6
137.580683,3.7
137.680718,3.6
137.780575,3.5
137.880579,3.5
137.98058,3.3
138.080723,3.2
138.18065,3.1
140.780583,-0.6
140.980576,-0.3
141.080566,-0.1
141.180565,0.0
141.280622,0.1
141.380739,0.3
141.480728,0.5
141.58057,0.7
141.680624,0.9
141.780677,1.2
141.880684,1.4
141.98055,1.6
142.080566,1.8
142.18057,2.1
142.280619,2.3
142.380643,2.6
142.480706,2.8
142.580795,3.0
142.680606,3.3
142.780765,3.6
142.880654,3.8
142.980586,4.0
143.080563,4.2
143.18057,4.5
143.280763,4.6
143.380752,4.8
143.480683,5.0
143.580672,5.1
143.680661,5.2
143.780601,5.3
143.88061,5.3
143.980564,5.4
144.080581,5.4
144.180571,5.5
144.280568,5.4
144.380708,5.4
144.480587,5.4
144.580597,5.3
144.680607,5.3
144.780763,5.2
144.880652,5.1
144.980657,5.0
145.080581,4.8
145.180567,4.7
145.280573,4.5
145.380645,4.2
145.480626,3.9
145.580733,3.6
145.68062,3.3
145.780665,2.7
145.880711,2.3
145.980775,1.7
146.080576,1.2
146.180584,0.7
146.280571,0.1
146.380742,-0.4
146.480692,-0.8
146.580614,-1.3
146.680731,-1.9
146.7806,-2.3
146.880774,-2.7
146.980678,-3.2
147.080572,-3.7
147.180708,-4.1
147.280581,-4.5
148.98071,-10.6
149.080651,-11.0
149.180623,-11.3
149.280677,-11.6
149.380586,-12.0
149.480638,-12.3
149.580745,-12.6
149.68076,-13.0
149.780784,-13.3
149.880672,-13.6
149.980676,-13.9
150.080608,-14.1
150.180602,-14.4
150.280581,-14.6
150.380587,-14.9
150.48063,-15.1
150.580751,-15.3
150.680725,-15.5
150.780707,-15.7
150.880669,-15.8
150.980598,-16.0
151.080647,-16.2
151.180585,-16.3
151.280595,-16.4
151.380587,-16.5
151.480579,-16.6
151.580713,-16.7
151.680656,-16.8
151.780625,-16.8
151.880707,-16.9
151.980694,-17.0
